name,gender
aca,m
aco,m
adam,m
adrijana,f
agata,f
agnija,f
aleksandar,m
aleksandra,f
ana,f
anastasija,f
anda,f
andela,f
andjela,f
andrea,f
andrej,m
andreja,m
andrija,m
andrijana,f
anica,f
anja,f
anka,f
anto,m
antonija,f
antonije,m
atanasija,f
atanasije,m
biljana,f
biserka,f
blagoje,m
boban,m
bogdan,m
bojan,m
bojana,f
boris,m
borislav,m
borislava,f
borko,m
boro,m
bosko,m
boza,m
bozena,f
bozidar,m
bozidarka,f
bozo,m
branimir,m
branimira,f
branislav,m
branislava,f
branka,f
brankica,f
branko,m
bratislav,m
bratislava,f
cedomir,m
cveta,f
cvijeta,f
dajana,f
dalibor,m
daliborka,f
damir,m
damjan,m
damjana,f
danica,f
danijel,m
danijela,f
danilo,m
danka,f
danko,m
darija,f
darko,m
david,m
davor,m
davorka,f
dejan,m
dejana,f
dijana,f
dimitrije,m
divna,f
djordje,m
djuradj,m
djuradja,f
djuro,m
dmitar,m
dobroslav,m
dora,f
dorde,m
doroteja,f
draga,f
dragan,m
dragana,f
dragica,f
drago,m
dragomir,m
dragoslav,m
dragoslava,f
dragutin,m
drasko,m
drazen,m
dubravka,f
dubravko,m
dunja,f
durad,m
durada,f
duro,m
dusan,m
dusana,f
dusanka,f
dusica,f
dusko,m
emil,m
emilija,f
filip,m
franjo,m
gavrilo,m
goran,m
goranka,f
gordan,m
gordana,f
hristina,f
igor,m
ilija,m
ilinka,f
irena,f
isaija,m
isidora,f
iskra,f
iva,f
ivan,m
ivana,f
ivanka,f
ivica,m
ivo,m
jadran,m
jadranka,f
jadranko,m
jaga,f
jagoda,f
jakov,m
jana,f
janja,f
janko,m
jasmina,f
jasna,f
javor,m
jefimija,f
jela,f
jelena,f
jelica,f
jelisaveta,f
jelka,f
jevrem,m
joakim,m
josif,m
jovan,m
jovana,f
jovanka,f
julijana,f
katarina,f
konstantin,m
kornelija,f
kristijan,m
kristina,f
ksenija,f
kuzman,m
lana,f
lazar,m
lidija,f
ljerka,f
ljilja,f
ljiljana,f
ljuba,f
ljuban,m
ljubica,f
ljubo,m
ljubomir,m
luka,m
magdalena,f
maja,f
maja,f
malina,f
manda,f
mara,f
marica,f
marija,f
marijana,f
marin,m
marina,f
marinko,m
marjan,m
marko,m
marta,f
mateja,m
matija,u
melanija,f
mihailo,m
mihajlo,m
mijo,m
mila,f
milan,m
milana,f
milanka,f
mile,m
milena,f
milenko,m
milica,f
milivoj,m
miljana,f
milka,f
miloje,m
milojica,m
milorad,m
milos,m
milovan,m
miodrag,m
mira,f
mirjana,f
mirko,m
mirna,f
miroslav,m
miroslava,f
misa,u
misko,m
mladen,m
mladenka,f
nada,f
nadezda,f
nadica,f
natalija,f
natasa,f
nebojsa,m
neda,f
nedeljka,f
nedeljko,m
nemanja,m
nenad,m
neno,m
neven,m
nevena,f
nevenka,f
nikica,m
nikola,m
nikolina,f
nina,f
ninoslav,m
novak,m
obrad,m
ognjan,m
ognjen,m
olga,f
olgica,f
oliver,m
olivera,f
olja,f
pavle,m
pedja,m
pejo,m
perica,m
pero,m
petar,m
plamen,m
predrag,m
rada,f
rade,m
radmila,f
radmilo,m
radomir,m
radomira,f
radoslav,m
radoslava,f
radovan,m
rahela,f
ranko,m
ratko,m
ratomir,m
ruza,f
sandra,f
sanja,f
sara,f
sasa,u
sava,m
senka,f
simeon,m
simo,m
sinisa,m
sladana,f
sladjana,f
slaven,m
slavica,f
slavko,m
slavomir,m
slobodan,m
slobodanka,f
smiljana,f
snezana,f
snjezana,f
sofija,f
sonja,f
spiridon,m
srecko,m
stana,f
stanimir,m
stanislav,m
stanislava,f
stanko,m
stasa,f
stefan,m
stevan,m
stevo,m
stjepan,m
stojan,m
suzana,f
svetlana,f
svetomir,m
svjetlana,f
tajana,f
tamara,f
tanja,f
tatjana,f
teodor,m
teodora,f
teodosija,f
tihana,f
tihomir,m
tijana,f
todor,m
toma,m
tomislav,m
tomislava,f
uros,m
uros,m
valerija,f
vanja,u
vartolomej,m
vasilija,f
vasilije,m
vaso,m
veca,f
vedran,m
vedrana,f
velibor,m
velimir,m
veljko,m
vera,f
verica,f
veselin,m
veselko,m
vesna,f
vikentije,m
viktor,m
viktorija,f
violeta,f
visnja,f
vitomir,m
vjera,f
vladan,m
vladimir,m
vladislav,m
vlado,m
vlasta,f
vlastimir,m
vlatko,m
vuk,m
vukasin,m
zaklina,f
zarko,m
zdravka,f
zdravko,m
zelimir,m
zeljka,f
zeljko,m
zivka,f
zivko,m
zlata,f
zlatan,m
zlatko,m
zora,f
zoran,m
zorana,f
zorica,f
zorka,f
zvezdana,f
